Eta;BPHit;NxDetHits (s_R:s_Z:X/X0@Eta)
0.08;15.6:205.8:0.044999
0.08;15.6:204.4:0.044691
0.08;15.6:203.0:0.044386
0.08;15.6:201.6:0.044086
0.08;15.6:200.2:0.043790
0.08;15.6:198.9:0.043497
0.08;15.6:197.6:0.043209
0.08;15.6:196.2:0.042924
0.08;15.6:195.0:0.042643
0.08;15.6:193.7:0.042366
0.08;15.6:192.4:0.042092
0.08;15.6:191.2:0.041822
0.08;15.6:189.9:0.041556
0.08;15.6:188.7:0.041292
0.08;15.6:187.5:0.041033
0.08;15.6:186.4:0.040776
0.08;15.6:185.2:0.040522
0.08;15.6:184.0:0.040272
0.09;15.6:182.9:0.040025
0.09;15.6:181.8:0.039781
0.09;15.6:180.7:0.039539
0.09;15.6:179.6:0.039301
0.09;15.6:178.5:0.039066
0.09;15.6:177.4:0.038833
0.09;15.6:176.4:0.038603
0.09;15.6:175.3:0.038376
0.09;15.6:174.3:0.038152
0.09;15.6:173.3:0.037930
0.09;15.6:172.2:0.037710
0.09;15.6:171.2:0.037494
0.09;15.6:170.3:0.037279
0.09;15.6:169.3:0.037068
0.09;15.6:168.3:0.036858
0.09;15.6:167.4:0.036651
0.09;15.6:166.4:0.036446
0.09;15.6:165.5:0.036244
0.09;15.6:164.6:0.036044
0.10;15.6:163.7:0.035846
0.10;15.6:162.8:0.035650
0.10;15.6:161.9:0.035456
0.10;15.6:161.0:0.035265
0.10;15.6:160.1:0.035075
0.10;15.6:159.2:0.034888
0.10;15.6:158.4:0.034702
0.10;15.6:157.5:0.034519
0.10;15.6:156.7:0.034337
0.10;15.6:155.9:0.034157
0.10;15.6:155.1:0.033980
0.10;15.6:154.2:0.033804
0.10;15.6:153.4:0.033630
0.10;15.6:152.7:0.033457
0.10;15.6:151.9:0.033287
0.10;15.6:151.1:0.033118
0.10;15.6:150.3:0.032951
0.10;15.6:149.6:0.032785
0.10;15.6:148.8:0.032622
0.10;15.6:148.1:0.032460
0.11;15.6:147.3:0.032299
0.11;15.6:146.6:0.032140
0.11;15.6:145.9:0.031983
0.11;15.6:145.1:0.031827
0.11;15.6:144.4:0.031673
0.11;15.6:143.7:0.031520
0.11;15.6:143.0:0.031369
